"club_id","stadium_id","club_name","website"
"120","133","Arsenal","www.arsenal.com"
"121","134","Aston Villa","www.avfc.co.uk"
"122","135","Barnsley","Null"
"123","136",Birmingham,"Null"
"124","137",Blackburn,"Null"
"125","138","Blackpool","Null"
"126","139",Bolton,"Null"
"127","140",Bournemouth,"www.afcb.co.uk"
"128","141","Bradford City","Null"
"129","142","Brentford","www.brentfordfc.com"
"130","143",Brighton,"www.brightonandhovealbion.com"
"131","144","Burnley","www.burnleyfootballclub.com"
"132","145",Cardiff,"www.cardiffcityfc.co.uk"
"133","146",Charlton,"Null"
"134","147","Chelsea","www.chelseafc.com"
"135","148","Coventry City","Null"
"136","149","Crystal Palace","www.cpfc.co.uk"
"137","150",Derby,"Null"
"138","151","Everton","www.evertonfc.com"
"139","152","Fulham","www.fulhamfc.com"
"140","153",Huddersfield,"www.htafc.com"
"141","154",Hull,"www.hullcitytigers.com"
"142","155",Ipswich,"Null"
"143","156",Leeds,"www.leedsunited.com"
"144","157",Leicester,"www.lcfc.com"
"145","158","Liverpool","www.liverpoolfc.com"
"146","159",Man City,"www.mancity.com"
"147","160",Man United,"www.manutd.com"
"148","161",Middlesbrough,"www.mfc.co.uk"
"149","162",Newcastle,"www.nufc.co.uk"
"150","163",Norwich,"www.canaries.co.uk"
"151","164","Nottingham Forest","Null"
"152","165","Oldham Athletic","Null"
"153","166","Portsmouth","Null"
"154","167",QPR,"Null"
"155","168","Reading","Null"
"156","169","Sheffield United","https://www.sufc.co.uk/"
"157","170","Sheffield Wednesday","Null"
"158","171","Southampton","www.southamptonfc.com"
"159","172",Stoke,"www.stokecityfc.com"
"160","173","Sunderland","www.safc.com"
"161","174",Swansea,"www.swanseacity.com"
"162","175","Swindon Town","Null"
"163","176",Tottenham,"www.tottenhamhotspur.com"
"164","177","Watford","www.watfordfc.com"
"165","178",West Brom,"www.wba.co.uk"
"166","179",West Ham,"www.whufc.com"
"167","180",Wigan,"Null"
"168","149","Wimbledon","Null"
169,"322",Wolves,"https://www.wolves.co.uk"
