"manager_id","club_id","season"
"67","120","2019/20"
"67","120","2020/21"
"67","120","2021/22"
"95","120","2019/20"
"96","120","2018/19"
"96","120","2019/20"
"97","120","1996/97"
"97","120","1997/98"
"97","120","1998/99"
"97","120","1999/00"
"97","120","2000/01"
"97","120","2001/02"
"97","120","2002/03"
"97","120","2003/04"
"97","120","2004/05"
"97","120","2005/06"
"97","120","2006/07"
"97","120","2007/08"
"97","120","2008/09"
"97","120","2009/10"
"97","120","2010/11"
"97","120","2011/12"
"97","120","2012/13"
"97","120","2013/14"
"97","120","2014/15"
"97","120","2015/16"
"97","120","2016/17"
"97","120","2017/18"
"98","120","1995/96"
"99","120","1994/95"
"99","120","1996/97"
"284","120","1992/93"
"284","120","1993/94"
"284","120","1994/95"
"68","121","2019/20"
"68","121","2020/21"
"68","121","2021/22"
"100","121","2015/16"
"101","121","2014/15"
"101","121","2015/16"
"102","121","2011/12"
"103","121","2015/16"
"104","121","2001/02"
"105","121","2001/02"
"105","121","2002/03"
"106","121","2010/11"
"107","121","2003/04"
"107","121","2004/05"
"107","121","2005/06"
"108","121","2010/11"
"108","121","2015/16"
"109","121","1994/95"
"110","121","1994/95"
"110","121","1995/96"
"110","121","1996/97"
"110","121","1997/98"
"152","121","1997/98"
"152","121","1998/99"
"152","121","1999/00"
"152","121","2000/01"
"228","121","1992/93"
"228","121","1993/94"
"253","121","2013/14"
"253","121","2014/15"
"261","121","2006/07"
"261","121","2007/08"
"261","121","2008/09"
"261","121","2009/10"
"243","122","1997/98"
"81","123","2002/03"
"81","123","2003/04"
"81","123","2004/05"
"81","123","2005/06"
"102","123","2007/08"
"102","123","2009/10"
"102","123","2010/11"
"103","123","2007/08"
"73","124","1997/98"
"73","124","1998/99"
"87","124","2008/09"
"87","124","2009/10"
"87","124","2010/11"
"112","124","2010/11"
"112","124","2011/12"
"113","124","2008/09"
"114","124","1996/97"
"114","124","1998/99"
"114","124","2004/05"
"115","124","1995/96"
"115","124","1996/97"
"197","124","1992/93"
"197","124","1993/94"
"197","124","1994/95"
"200","124","1998/99"
"220","124","2001/02"
"220","124","2002/03"
"220","124","2003/04"
"247","124","2004/05"
"247","124","2005/06"
"247","124","2006/07"
"247","124","2007/08"
"145","125","2010/11"
"87","126","2001/02"
"87","126","2002/03"
"87","126","2003/04"
"87","126","2004/05"
"87","126","2005/06"
"87","126","2006/07"
"116","126","2009/10"
"116","126","2010/11"
"116","126","2011/12"
"117","126","2007/08"
"118","126","2006/07"
"118","126","2007/08"
"120","126","1995/96"
"154","126","1995/96"
"154","126","1997/98"
"300","126","2007/08"
"300","126","2008/09"
"300","126","2009/10"
"94","127","2015/16"
"94","127","2016/17"
"94","127","2017/18"
"94","127","2018/19"
"94","127","2019/20"
"121","128","2000/01"
"122","128","2000/01"
"151","128","1999/00"
"309","128","2000/01"
"123","129","2021/22"
"69","130","2019/20"
"69","130","2020/21"
"69","130","2021/22"
"124","130","2017/18"
"124","130","2018/19"
"70","131","2014/15"
"70","131","2016/17"
"70","131","2017/18"
"70","131","2018/19"
"70","131","2019/20"
"70","131","2020/21"
"70","131","2021/22"
"125","131","2009/10"
"80","132","2013/14"
"126","132","2013/14"
"127","132","2018/19"
"128","133","2006/07"
"181","133","2006/07"
"296","133","2006/07"
"306","133","1998/99"
"306","133","2000/01"
"306","133","2001/02"
"306","133","2002/03"
"306","133","2003/04"
"306","133","2004/05"
"306","133","2005/06"
"71","134","2020/21"
"71","134","2021/22"
"72","134","2019/20"
"72","134","2020/21"
"74","134","2009/10"
"74","134","2010/11"
"86","134","2004/05"
"86","134","2005/06"
"86","134","2006/07"
"86","134","2007/08"
"86","134","2013/14"
"86","134","2014/15"
"86","134","2015/16"
"129","134","2018/19"
"130","134","2016/17"
"130","134","2017/18"
"131","134","2015/16"
"132","134","2015/16"
"133","134","2011/12"
"133","134","2012/13"
"134","134","2008/09"
"134","134","2015/16"
"135","134","2008/09"
"136","134","1997/98"
"136","134","1998/99"
"136","134","1999/00"
"136","134","2000/01"
"137","134","2000/01"
"138","134","1992/93"
"139","134","1992/93"
"160","134","2012/13"
"175","134","2000/01"
"175","134","2001/02"
"175","134","2002/03"
"175","134","2003/04"
"218","134","1996/97"
"218","134","1997/98"
"273","134","2011/12"
"281","134","1993/94"
"281","134","1994/95"
"281","134","1995/96"
"304","134","2007/08"
"140","135","1993/94"
"140","135","1994/95"
"141","135","1992/93"
"141","135","1993/94"
"228","135","1994/95"
"228","135","1995/96"
"228","135","1996/97"
"249","135","1996/97"
"249","135","1997/98"
"249","135","1998/99"
"249","135","1999/00"
"249","135","2000/01"
"73","136","2017/18"
"73","136","2018/19"
"73","136","2019/20"
"73","136","2020/21"
"87","136","2016/17"
"127","136","2014/15"
"142","136","2021/22"
"143","136","2017/18"
"144","136","2013/14"
"144","136","2014/15"
"145","136","2013/14"
"146","136","1997/98"
"147","136","1997/98"
"148","136","1994/95"
"181","136","2004/05"
"241","136","1992/93"
"241","136","1997/98"
"296","136","2014/15"
"296","136","2015/16"
"296","136","2016/17"
"149","137","2007/08"
"150","137","2001/02"
"151","137","2007/08"
"152","137","2001/02"
"153","137","1996/97"
"153","137","1997/98"
"153","137","1998/99"
"153","137","1999/00"
"153","137","2000/01"
"153","137","2001/02"
"154","137","2001/02"
"74","138","2019/20"
"74","138","2020/21"
"87","138","2017/18"
"89","138","2001/02"
"89","138","2002/03"
"89","138","2003/04"
"89","138","2004/05"
"89","138","2005/06"
"89","138","2006/07"
"89","138","2007/08"
"89","138","2008/09"
"89","138","2009/10"
"89","138","2010/11"
"89","138","2011/12"
"89","138","2012/13"
"155","138","2019/20"
"156","138","2018/19"
"156","138","2019/20"
"157","138","2015/16"
"157","138","2017/18"
"158","138","2016/17"
"158","138","2017/18"
"159","138","2013/14"
"159","138","2014/15"
"159","138","2015/16"
"160","138","2021/22"
"161","138","1998/99"
"161","138","1999/00"
"161","138","2000/01"
"161","138","2001/02"
"162","138","1996/97"
"163","138","1993/94"
"164","138","1992/93"
"164","138","1993/94"
"164","138","1997/98"
"165","138","1994/95"
"165","138","1995/96"
"165","138","1996/97"
"166","138","1993/94"
"166","138","1994/95"
"73","139","2007/08"
"73","139","2008/09"
"73","139","2009/10"
