Column1,Column2,Column3,Column4,Column5,Column6,Column7
player_id,player_name,player_number,position,country,date_of_birth,height
p1,Alan Shearer,\N,Forward,England,1970-08-13,183
p100059,Alberto Moreno,\N,Defender,Spain,1992-07-05,171
p100180,Danilo,\N,Defender,Brazil,1991-07-15,184
p10022,Cory Gibbs,\N,Defender,United States,1980-01-14,188
p10039,Abdeslam Ouaddou,\N,Defender,Morocco,1978-11-01,193
p100412,André Carrillo,\N,Midfielder,Peru,1991-06-14,182
p100534,Paulinho,\N,Midfielder,Brazil,1988-07-25,182
p10059,David Bellion,\N,Forward,France,1982-11-27,181
p100649,Bernard,\N,Forward,Brazil,1992-09-08,166
p10068,Szilard Nemeth,\N,Forward,Slovakia,1977-08-08,180
p10072,Henrik Pedersen,\N,Forward,Denmark,1975-06-10,188
p10089,Martin Petrov,\N,Midfielder,Bulgaria,1979-01-15,180
p101061,Philip Heise,\N,Defender,Germany,1991-06-20,184
p101065,Phil Ofosu-Ayeh,\N,Defender,Ghana,1991-09-15,181
p10107,Rafael Schmitz,\N,Defender,Brazil,0000-00-00,\N
p101105,Joe Bryan,\N,Defender,England,1993-09-17,173
p101135,Cody Cropper,\N,Goalkeeper,United States,1993-02-16,191
p10114,Fábio Rochemback,\N,Midfielder,Brazil,1981-12-10,183
p101148,Jamaal Lascelles,6,Defender,England,1993-11-11,188
p101178,James Ward-Prowse,8,Midfielder,England,1994-11-01,173
p101179,Lloyd Isgrove,\N,Midfielder,Wales,1993-01-12,178
p101180,Sam Hoskins,\N,Forward,England,1993-02-04,173
p101183,Corby Moore,\N,Midfielder,England,1993-11-21,173
p101184,Calum Chambers,21,Defender,England,1995-01-20,182
p101188,Lucas Digne,12,Defender,France,1993-07-20,178
p10135,Tomasz Kuszczak,\N,Goalkeeper,Poland,1982-03-20,191
p101394,Okay Yokuslu,\N,Midfielder,Turkey,1994-03-09,190
p10143,Geovanni,\N,Midfielder,Brazil,1980-01-11,168
p101489,Csaba Somogyi,\N,Goalkeeper,Hungary,1985-04-07,190
p101537,Felipe Anderson,\N,Midfielder,Brazil,1993-04-15,175
p10155,Chris Black,\N,Midfielder,England,1982-09-07,183
p10156,Craig James,\N,Defender,England,1982-11-15,183
p101582,Fred,17,Midfielder,Brazil,1993-03-05,169
p10159,Keith Graydon,\N,Forward,England,1983-02-10,\N
p1016,Kevin Pressman,\N,Goalkeeper,England,1967-11-06,185
p10161,Mark Rossiter,\N,Midfielder,Ireland,1983-05-27,180
p101623,Cristian Ceballos,\N,Midfielder,Spain,1992-12-03,173
p101642,Rhys Bennett,\N,Defender,England,1991-09-01,191
p101668,Jamie Vardy,9,Forward,England,1987-01-11,179
p1017,Julian Joachim,\N,Forward,England,1974-09-20,168
p1018,Lee Hughes,\N,Forward,England,1976-05-22,178
p10187,David Noble,\N,Midfielder,England,1982-02-02,183
p1019,Kevin Kilbane,\N,Midfielder,Ireland,1977-02-01,183
p101982,Sam Johnstone,\N,Goalkeeper,England,1993-03-25,193
p102046,Muamer Tankovic,\N,Forward,Sweden,1995-02-22,179
p102052,Eirik Holmen Johansen,\N,Goalkeeper,Norway,1992-07-12,201
p102053,Andrea Mancini,\N,Midfielder,Italy,1992-08-13,179
p102057,Raúl Jiménez,9,Forward,Mexico,1991-05-05,190
p10216,Alberto Mendez,\N,Midfielder,Germany,1974-10-24,180
p102163,Souleymane Coulibaly,\N,Forward,Cote D`Ivoire,1994-12-26,172
p10231,Stevland Angus,\N,Defender,England,1980-09-16,\N
p102366,Moritz Bauer,\N,Defender,Austria,1992-01-25,181
p102380,Antonio Rüdiger,2,Defender,Germany,1993-03-03,190
p1024,Sean Flynn,\N,Midfielder,England,1968-03-13,173
p10246,Terrell Forbes,\N,Defender,England,1981-08-17,183
p1025,Matt Carbon,\N,Defender,England,1975-06-08,188
p10250,Ciaran Toner,\N,Midfielder,Northern Ireland,1981-06-30,185
p102548,Tiago Ilori,\N,Defender,Portugal,1993-02-26,190
p102549,Adam Davies,\N,Goalkeeper,Wales,1992-07-17,185
p1027,Richard Sneekes,\N,Midfielder,Netherlands,1968-10-30,180
p10273,Graeme Sharp,\N,Forward,Scotland,1960-10-16,185
p102738,Giannelli Imbula,\N,Midfielder,DR Congo,1992-09-12,186
p10274,John Ebbrell,\N,Midfielder,England,1969-10-01,178
p102747,Djibril Sidibé,\N,Defender,France,1992-07-29,182
p10276,Barry Venison,\N,Defender,England,1964-08-16,178
