"player_performance_id","player_id","match_id","type_of_stat","minute"
"1","p1190","461","1","52"
"2","p520","461","1","39"
"3","p16965","461","1","46"
"4","p16965","461","1","78"
"5","p8889","461","3","52"
"6","p1890","461","3","39"
"7","p3171","461","3","78"
"8","p2070","450","1","9"
"9","p2070","450","3","82"
"10","p1190","450","1","82"
"11","p1746","450","1","89"
"12","p1618","450","3","9"
"13","p1618","450","3","89"
"14","p15005","449","1","19"
"15","p1137","449","3","19"
"16","p2070","426","1","67"
"17","p361","426","1","90"
"18","p1622","426","3","67"
"19","p16927","405","1","68"
"20","p7987","405","3","68"
"21","p17092","398","2","27"
"22","p8889","398","1","2"
"23","p1618","398","1","87"
"24","p11","398","3","2"
"25","p15007","390","1","32"
"26","p1063","390","3","32"
"27","p1555","359","1","15"
"28","p1618","359","1","16"
"29","p1618","359","3","15"
"30","p16918","359","1","20"
"31","p16918","359","1","79"
"32","p1527","359","1","4"
"33","p10793","359","1","30"
"34","p1921","359","1","50"
"35","p3115","359","3","79"
"36","p16922","359","3","4"
"37","p1746","349","1","28"
"38","p2070","349","1","29"
"39","p8878","349","3","28"
"40","p1924","334","1","35"
"41","p2070","334","1","81"
"42","p1219","334","3","35"
"43","p1746","334","3","81"
"44","p1379","329","1","81"
"45","p2230","329","3","81"
"46","p1555","309","1","50"
"47","p1618","309","3","50"
"48","p1304","296","1","19"
"49","p11","282","6","86"
"50","p7989","282","2","59"
"51","p1618","252","1","79"
"52","p16942","252","3","79"
"53","p3115","240","1","43"
"54","p3154","240","1","87"
"55","p8879","240","3","43"
"56","p1651","230","2","45"
"57","p2070","210","1","81"
"58","p9","210","4","34"
"59","p8884","207","1","20"
"60","p1870","195","1","16"
"61","p1870","195","3","53"
"62","p1527","195","1","53"
"63","p1527","195","3","16"
"64","p1925","177","1","27"
"65","p2692","169","1","51"
"66","p16128","169","1","56"
"67","p1716","169","1","87"
"68","p16193","169","3","51"
"69","p2347","169","3","56"
"70","p10773","169","3","87"
"71","p8889","155","1","3"
"72","p8889","155","3","30"
"73","p2070","155","1","30"
"74","p2070","155","3","45"
"75","p1746","155","1","45"
"76","p1591","155","3","3"
"77","p17015","154","1","69"
"78","p1618","154","1","5"
"79","p2070","154","1","73"
"80","p1596","154","3","69"
"81","p8889","154","3","5"
"82","p1746","154","3","73"
"83","p2070","133","1","5"
"84","p8879","133","1","58"
"85","p1618","133","3","5"
"86","p1618","133","3","58"
"87","p8889","126","1","38"
"88","p1957","126","3","38"
"89","p1618","110","1","10"
"90","p2070","110","1","85"
"91","p1681","110","1","79"
"92","p8879","110","3","85"
"93","p11014","110","3","79"
"94","p2070","109","1","19"
"95","p1746","109","3","19"
"96","p1461","93","1","48"
"97","p2070","93","1","85"
"98","p1855","93","3","48"
"99","p1591","93","3","85"
"100","p3764","76","1","71"
"101","p1815","76","3","71"
"102","p10810","74","1","39"
"103","p16115","74","1","80"
"104","p2048","74","1","86"
"105","p2048","74","3","80"
"106","p2070","74","1","34"
"107","p2070","74","1","82"
"108","p1746","74","3","34"
"109","p1622","44","1","8"
"110","p1618","44","1","27"
"111","p1958","44","1","33"
"112","p2070","44","3","8"
"113","p2070","44","3","27"
"114","p11","40","1","25"
"115","p2070","40","1","31"
"116","p3115","40","3","25"
"117","p8879","33","1","53"
"118","p2070","33","1","80"
"119","p1622","33","3","53"
"120","p1622","33","3","80"
"121","p1","12","1","84"
"122","p1935","12","3","84"
"123","p1957","1","1","28"
"124","p1746","1","1","39"
"125","p1147","1","1","69"
"126","p1147","1","1","84"
"127","p2832","1","1","73"
"128","p2832","1","3","69"
"129","p1924","1","1","82"
"130","p11","1","3","28"
"131","p1591","1","3","39"
"132","p16954","1","3","73"
"133","p16954","1","3","82"
"134","p1904","459","1","67"
"135","p1552","459","1","78"
"136","p16927","459","1","38"
"137","p17010","459","3","67"
"138","p1483","459","3","78"
"139","p1651","459","3","38"
"140","p1233","441","1","30"
"141","p16127","441","3","30"
"142","p3764","427","1","9"
"143","p3764","427","1","40"
"144","p2382","427","1","15"
"145","p1254","427","3","9"
"146","p1254","427","3","40"
"147","p1651","423","1","57"
"148","p15010","423","2","67"
"149","p7987","423","1","89"
"150","p1968","423","1","34"
"151","p1789","423","3","89"
"152","p1770","423","3","34"
"153","p16119","387","1","63"
"154","p1789","387","3","63"
"155","p3399","376","1","81"
"156","p1829","360","1","2"
"157","p1829","360","1","56"
"158","p1789","360","3","2"
"159","p1925","356","1","57"
"160","p1789","356","1","53"
"161","p15663","356","3","57"
"162","p3445","356","3","53"
"163","p1829","319","1","79"
"164","p15011","319","3","79"
"165","p1291","304","1","12"
"166","p15011","304","1","18"
"167","p15011","304","3","12"
"168","p7994","304","2","24"
"169","p7987","301","1","22"
"170","p16897","301","3","22"
"171","p3269","298","1","9"
"172","p1829","284","1","32"
"173","p1651","284","1","42"
"174","p1789","284","3","32"
"175","p7987","284","3","42"
"176","p3650","281","1","39"
"177","p1527","281","1","63"
"178","p17021","281","3","63"
"179","p16119","267","1","54"
"180","p16119","267","3","58"
"181","p1651","267","1","58"
"182","p1049","267","1","89"
"183","p1855","267","1","74"
"184","p1291","267","3","89"
"185","p15000","267","3","74"
"186","p15010","260","1","26"
"187","p16119","260","1","32"
"188","p1829","260","1","44"
"189","p1651","260","1","58"
"190","p2229","260","1","68"
"191","p1063","260","1","82"
"192","p1789","260","3","26"
"193","p1789","260","3","68"
"194","p1729","260","3","32"
"195","p3306","260","3","58"
"196","p15007","260","3","82"
"197","p7989","247","1","42"
"198","p15010","247","1","54"
"199","p1651","247","1","64"
"200","p16183","247","3","42"
"201","p1049","247","3","54"
"202","p1829","247","3","64"
"203","p17055","224","1","52"
"204","p17055","224","1","55"
"205","p17055","224","3","59"
"206","p16187","224","1","59"
"207","p16187","224","3","52"
"208","p16187","224","3","55"
"209","p1249","215","1","58"
"210","p15010","215","1","34"
"211","p3763","215","3","58"
"212","p17059","200","1","33"
"213","p16119","200","1","47"
"214","p361","200","1","9"
"215","p7987","200","3","47"
"216","p8003","200","3","9"
"217","p15005","194","1","26"
"218","p16897","194","1","19"
"219","p16897","194","1","67"
"220","p8827","194","3","26"
"221","p16119","194","3","67"
"222","p7987","178","1","45"
"223","p15010","178","1","46"
"224","p2832","178","1","17"
"225","p16127","178","1","30"
"226","p1219","178","1","49"
"227","p1598","178","3","45"
"228","p1147","178","3","17"
"229","p16897","156","1","12"
"230","p1789","156","3","12"
"231","p1651","153","1","43"
"232","p16897","153","1","79"
"233","p16897","153","3","43"
"234","p17035","139","1","19"
"235","p16897","139","1","81"
"236","p1209","139","3","19"
"237","p1651","139","3","81"
"238","p2659","119","1","34"
"239","p2545","119","1","90"
"240","p1651","119","1","5"
"241","p1651","119","1","29"
"242","p16897","119","1","77"
"243","p2821","119","3","34"
"244","p10810","119","3","90"
"245","p1729","119","3","5"
"246","p7987","119","3","29"
"247","p1829","119","3","77"
"248","p17074","107","1","62"
"249","p16119","107","4","86"
"250","p1651","107","1","22"
"251","p1651","107","1","74"
"252","p16897","107","1","71"
"253","p1729","107","3","22"
"254","p7987","107","3","71"
"255","p1829","107","3","74"
"256","p1651","88","1","44"
"257","p1651","88","1","66"
"258","p16897","88","1","54"
"259","p16897","88","3","78"
"260","p15010","88","1","78"
"261","p15010","88","3","54"
"262","p1315","88","1","43"
"263","p15674","88","1","84"
"264","p1729","88","3","44"
"265","p7987","88","3","66"
"266","p1698","88","3","43"
"267","p1747","88","3","84"
"268","p8823","85","1","85"
"269","p15010","85","1","19"
"270","p15663","85","3","85"
"271","p7987","85","3","19"
"272","p1829","65","1","18"
"273","p1789","65","1","42"
"274","p1729","65","1","72"
"275","p1729","65","3","18"
"276","p1049","60","1","30"
"277","p16943","60","1","40"
"278","p16943","60","3","42"
"279","p1164","60","1","42"
"280","p1681","60","1","57"
"281","p17059","60","3","30"
"282","p2387","60","3","40"
"283","p15010","52","1","2"
"284","p15010","52","1","86"
"285","p1789","52","3","2"
"286","p16897","52","3","86"
"287","p16984","36","1","88"
"288","p7994","36","3","88"
"289","p16897","23","1","64"
"290","p10793","23","1","79"
"291","p16118","23","3","64"
"292","p16897","14","1","77"
"293","p1849","14","1","84"
"294","p17059","14","3","77"
"295","p8823","14","3","84"
"296","p3649","6","1","31"
"297","p16897","6","1","84"
"298","p17059","6","3","84"
"299","p1894","451","1","65"
"300","p1254","451","3","65"
"301","p1890","448","1","86"
"302","p3764","448","1","22"
"303","p3764","448","1","54"
"304","p3477","448","3","86"
"305","p1935","448","3","22"
"306","p1687","448","3","54"
"307","p3","442","1","21"
"308","p1853","442","1","59"
"309","p1844","442","1","90"
"310","p2382","442","1","8"
"311","p15663","442","3","59"
"312","p1894","442","3","8"
"313","p15000","419","1","8"
"314","p2382","419","1","39"
"315","p2382","419","3","54"
"316","p2382","419","3","68"
"317","p3764","419","1","54"
"318","p1894","419","1","68"
"319","p1935","406","1","6"
"320","p3408","406","4","43"
"321","p17018","406","1","68"
"322","p3764","406","3","6"
"323","p3230","406","3","68"
"324","p10773","399","2","8"
"325","p10773","399","2","26"
"326","p10773","399","2","50"
"327","p10773","399","3","67"
"328","p2347","399","1","67"
"329","p16128","399","1","89"
"330","p2382","399","1","72"
"331","p8926","399","1","85"
"332","p4251","399","3","50"
"333","p1687","399","3","72"
"334","p1894","399","3","85"
"335","p8003","392","2","51"
"336","p2398","392","5","84"
"337","p1254","392","1","7"
"338","p1935","392","1","67"
"339","p1935","392","3","76"
"340","p3764","392","1","76"
"341","p2382","392","3","7"
"342","p2382","392","3","67"
"343","p3764","381","1","13"
"344","p17023","381","1","25"
"345","p2382","381","1","41"
"346","p2382","381","3","13"
"347","p1254","381","1","65"
"348","p1254","381","3","41"
"349","p7995","381","1","84"
"350","p16114","381","3","65"
"351","p1935","377","1","23"
"352","p17023","377","1","55"
"353","p8926","377","1","65"
"354","p2641","377","3","23"
"355","p16114","377","3","55"
"356","p1833","377","3","65"
"357","p8926","361","1","23"
"358","p15007","361","1","32"
"359","p1196","361","3","32"
"360","p2312","333","4","56"
"361","p1781","333","1","71"
"362","p1815","333","1","42"
